bank,code,fiscal_year,quarter,value,basis,source_ref
cs,net_profit,2026,1,7100,adjusted,peer_pdf_s4
cs,net_profit,2025,1,5700,adjusted,peer_pdf_s9
kb,net_profit,2026,1,4000,adjusted,peer_pdf_s4
kb,net_profit,2025,1,4200,adjusted,peer_pdf_s9
cs,operating_result,2026,1,9200,adjusted,peer_pdf_s4
cs,operating_result,2025,1,8200,adjusted,peer_pdf_s10
kb,operating_result,2026,1,5100,adjusted,peer_pdf_s4
kb,operating_result,2025,1,4900,adjusted,peer_pdf_s10
cs,operating_income,2026,1,15300,adjusted,peer_pdf_s4
cs,operating_income,2025,1,14100,adjusted,peer_pdf_s10
kb,operating_income,2026,1,9100,adjusted,peer_pdf_s4
kb,operating_income,2025,1,9100,adjusted,peer_pdf_s10
cs,operating_expenses,2026,1,6100,adjusted,peer_pdf_s4
cs,operating_expenses,2025,1,5900,adjusted,peer_pdf_s10
kb,operating_expenses,2026,1,4000,adjusted,peer_pdf_s4
kb,operating_expenses,2025,1,4200,adjusted,peer_pdf_s10
cs,net_interest_income,2026,1,10700,adjusted,peer_pdf_s11
cs,net_interest_income,2025,1,10100,adjusted,peer_pdf_s11
kb,net_interest_income,2026,1,6400,adjusted,peer_pdf_s11
kb,net_interest_income,2025,1,6400,adjusted,peer_pdf_s11
cs,net_fee_commission_income,2026,1,3400,adjusted,peer_pdf_s11
cs,net_fee_commission_income,2025,1,3200,adjusted,peer_pdf_s11
kb,net_fee_commission_income,2026,1,1600,adjusted,peer_pdf_s11
kb,net_fee_commission_income,2025,1,1800,adjusted,peer_pdf_s11
cs,total_assets,2026,1,2230000,adjusted,peer_pdf_s4
cs,total_assets,2025,1,2057000,adjusted,peer_pdf_s54
kb,total_assets,2026,1,1742000,adjusted,peer_pdf_s4
kb,total_assets,2025,1,1586000,adjusted,peer_pdf_s54
cs,gross_customer_loans,2026,1,1222000,adjusted,peer_pdf_s4
cs,gross_customer_loans,2025,1,1123000,adjusted,peer_pdf_s54
kb,gross_customer_loans,2026,1,914000,adjusted,peer_pdf_s4
kb,gross_customer_loans,2025,1,849000,adjusted,peer_pdf_s54
cs,customer_deposits,2026,1,1394000,adjusted,peer_pdf_s4
cs,customer_deposits,2025,1,1370000,adjusted,peer_pdf_s23
kb,customer_deposits,2026,1,1129000,adjusted,peer_pdf_s4
kb,customer_deposits,2025,1,1039000,adjusted,peer_pdf_s23
cs,cost_income_ratio,2026,1,0.400,adjusted,peer_pdf_s4
cs,cost_income_ratio,2025,1,0.419,adjusted,peer_pdf_s10
kb,cost_income_ratio,2026,1,0.438,adjusted,peer_pdf_s4
kb,cost_income_ratio,2025,1,0.463,adjusted,peer_pdf_s10
cs,roe,2026,1,0.186,adjusted,peer_pdf_s4
cs,roe,2025,1,0.145,adjusted,peer_pdf_s9
kb,roe,2026,1,0.124,adjusted,peer_pdf_s4
kb,roe,2025,1,0.130,adjusted,peer_pdf_s9
cs,npl_ratio,2026,1,0.015,adjusted,peer_pdf_s16
cs,npl_ratio,2025,1,0.018,adjusted,peer_pdf_s16
kb,npl_ratio,2026,1,0.015,adjusted,peer_pdf_s16
kb,npl_ratio,2025,1,0.020,adjusted,peer_pdf_s16
