record_id,subject,subject_type,program_name,status,product_scope,reward_referrer,reward_referee,reward_type,conditions,channel,limits,timing,campaign_period,eligibility,source_url,source_date,confidence,notes
ceska-sporitelna__doporucte-george,Česká spořitelna,bank,Doporučte George,active,"běžný účet (Plus, Standard, Premier, Erste Private Banking)",až 6 000 Kč celkem (až 1 200 Kč za každého z max. 5 doporučených),až 1 200 Kč,cash,"Doporučený si přes George sjedná účet Plus, Standard, Premier nebo Erste Private Banking a následně zaplatí alespoň 4× kartou v každém ze 3 měsíců následujících po měsíci založení účtu. Odměna 1 200 Kč se vyplácí rozděleně do 3 měsíců.",app; link,max. 5 doporučených přátel (6 000 Kč pro doporučujícího),podmínka aktivity ve 3 měsících po založení účtu; odměna rozdělena do 3 měsíčních plateb,? – ? (Program byl prodloužen a pokračuje i v roce 2026; konkrétní datum konce se nepodařilo ověřit.),doporučující = klient ČS s George; doporučený = nový klient sjednávající účet přes George,https://www.e15.cz/finexpert/banky-a-ucty/ceska-sporitelna-prodlouzila-odmenovani-za-doporuceni-uctu-ziskat-muzete-az-6-000-korun-1430070,2026-09-15,medium,"Největší odměna pro doporučujícího mezi velkými bankami. Odměna je strukturovaná per-doporučený (1 200 Kč), ne jako jedna částka. Dřívější komunikace banky uváděla 1 200 Kč pro obě strany — viz FB post ČS. Oficiální T&C se nepodařilo dohledat (egress blokován), proto medium."
csob__doporuceni,ČSOB (vč. Poštovní spořitelny),bank,,unknown,běžný účet,nejednoznačné: sekundární zdroje uvádějí 500 Kč i 1 000 Kč za doporučeného,"nejednoznačné: jeden zdroj uvádí 500 Kč pro obě strany, jiný pouze odměnu pro doporučujícího",cash,"Nepodařilo se ověřit. Nalezené oficiální PDF s pravidly ČSOB se týkají akvizičních kampaní (Plus konto, podnikatelský účet, Premium konto), ne MGM programu.",,,,,,https://www.penize.cz/osobni-ucty/487348-banky-vas-odmeni-za-doporuceni-prehled-kde-a-jak-si-prilepsite,2026-09-15,low,"ROZPOR MEZI ZDROJI, NEROZŘEŠEN. Jeden sekundární zdroj tvrdí 500 Kč na oba účty, jiný 1 000 Kč pro doporučujícího. Nepodařilo se najít žádnou oficiální stránku ani PDF s pravidly MGM programu ČSOB — všechny nalezené oficiální dokumenty jsou akviziční kampaně pro nové klienty. Dokud nebude ověřeno z T&C, částku neuvádím jako fakt. Prioritní kandidát na ověření trackerem."
komercni-banka__zadny-mgm,Komerční banka,bank,,none,,,,,,,,,,,https://www.kb.cz/cs/obcane/bonus-az-4-000-kc-pro-nove-klienty,2026-09-15,medium,"KB nemá MGM program. Má pouze AKVIZIČNÍ bonus až 4 000 Kč pro nové klienty (sjednání do 30. 11. 2026, 3× 1 000 Kč za 5 plateb kartou + příjem ≥ 15 000 Kč měsíčně). POZOR: agregátory tyto dvě věci opakovaně zaměňují — jeden vyhledávací souhrn přiřadil KB parametry Air Bank (500 Kč, max 10 ročně). Akviziční bonus není MGM a do rozsahu tohoto reportu nepatří."
moneta__odmena-za-doporuceni,Moneta Money Bank,bank,Odměna za doporučení klienta,unknown,běžný účet,výše neověřena; banka komunikuje „tisíce korun ročně“,"existuje (obě strany dostávají odměnu), výše neověřena",cash,Nepodařilo se ověřit. Banka odkazuje na PDF s podmínkami kampaně „Odměna za doporučení klienta“.,app,,,,,https://www.moneta.cz/dokumenty-ke-stazeni/osobni/ucty,2026-09-15,low,"Program prokazatelně existuje (banka pro něj vydává vlastní PDF s pravidly a komunikuje „obě strany dostanou odměnu“), ale aktuální výši odměny se nepodařilo z veřejných zdrojů ověřit. Historicky 100 Kč, od 15. 9. 2018 zvýšeno na 300 Kč — pouze fórový zdroj, confidence low, do historie nezařazeno. Nezaměňovat s „Program Odměny“, což je cashback u obchodníků, ne MGM."
raiffeisenbank__odmena-za-doporuceni,Raiffeisenbank,bank,Odměna za doporučení,active,osobní běžný účet; podnikatelský účet; stavební spoření,"1 000 Kč za osobní účet, 2 000 Kč za podnikatelský účet, 1 000 Kč za stavební spoření",6× 500 Kč za aktivní používání účtu (akviziční složka navázaná na doporučení),cash,"Doporučený se registruje telefonním číslem přes unikátní odkaz a do 30 dnů od registrace uzavře a aktivuje smlouvu o běžném účtu nebo stavebním spoření. Novým klientem je ten, kdo v posledních 12 měsících neměl u RB vedený žádný bankovní účet. Odměnu dostanou obě strany jen při splnění všech podmínek.",app; link,nepodařilo se ověřit,30 dnů od registrace na uzavření smlouvy; odměna připsána nejpozději 15. den měsíce následujícího po aktivaci produktu,,doporučující = stávající klient RB; doporučený = nový klient bez účtu u RB v posledních 12 měsících. Zaměstnanci RB a jejich rodinní příslušníci jsou vyloučeni.,https://www.rb.cz/podpora/podminky-akci/odmena-za-doporuceni,2026-09-15,medium,"Jediná banka v přehledu s odstupňováním odměny podle TYPU produktu (osobní/podnikatelský/stavební spoření) — 2 000 Kč za podnikatelský účet je nejvyšší jednorázová sazba za doporučeného na trhu. Banka pro program vydává hned tři různá PDF s pravidly, což naznačuje více paralelních variant kampaně; jejich vzájemný vztah se bez přečtení PDF nepodařilo určit. reward_referrer_value = 2000 jako nejvyšší dosažitelná sazba."
unicredit__doporuc-a-ziskej,UniCredit Bank,bank,Doporuč a získej,active,"běžný účet (U konto, U konto Premium); spotřebitelský úvěr (PRESTO Půjčka)","až 1 700 Kč za každého doporučeného: 300 Kč za U konto / U konto Premium, 700 Kč za PRESTO Půjčku ≥ 100 000 Kč","nepodařilo se ověřit, zda doporučený dostává odměnu",cash,Doporučující sdělí novému klientovi svůj unikátní promo kód. Nový klient si během trvání kampaně sjedná příslušný produkt; u PRESTO Půjčky musí být ve výši alespoň 100 000 Kč.,code,"celková výše odměny není omezena, záleží pouze na počtu doporučených",nepodařilo se ověřit,,doporučující = klient UniCredit Bank s promo kódem,https://www.investujeme.cz/tiskove-zpravy/doporucte-produkty-unicredit-bank-svym-pratelum-a-ziskejte-odmenu-az-1700-korun-za-kazdeho-doporuceneho-klienta/,2026-09-15,medium,"JEDINÝ program v přehledu BEZ STROPU na počet doporučení i celkovou odměnu. Zároveň jediný, který odměňuje za doporučení ÚVĚRU (700 Kč za PRESTO Půjčku ≥ 100 tis. Kč) — to je podstatně agresivnější než doporučování běžných účtů a vyvolává otázku vhodnosti motivovat laiky k šíření úvěrových produktů. 300 + 700 = 1 000 Kč; deklarovaných 1 700 Kč implikuje ještě další produkt, který se z dostupných zdrojů nepodařilo identifikovat — proto reward_tiered a nižší jistota. Měšec uvádí odlišnou mechaniku (až 3 % z platby kartou), zdroje si neodpovídají."
fio-banka__zadny-mgm,Fio banka,bank,,none,,,,,,,,,,,https://www.finparada.cz/3524-Banky-zkouseji-ziskat-nove-klienty-odmenou-za-doporuceni.aspx,2026-09-15,low,"Fio dlouhodobě nenabízí akviziční bonusy ani MGM; staví na bezpoplatkovosti a kvalitě služby. Odměňuje jinak — za splácení hypotéky a cashback přes Mastercard Priceless Specials, což nejsou MGM. Status 'none' opřen pouze o sekundární zdroje a o absenci jakékoli zmínky na straně banky, proto confidence low: negativní zjištění se z veřejných zdrojů dokazuje hůř než pozitivní."
air-bank__pozvete-pratele,Air Bank,bank,Pozvěte přátele,active,běžný účet,500 Kč za každého doporučeného,500 Kč,cash,"Doporučující pošle odkaz z mobilní aplikace (Menu / Nastavení a banka / Pozvat přátele). Doporučený si nejpozději do 45 dnů založí účet na stejné telefonní číslo, na které byl pozván, a zaplatí alespoň 5× kartou v měsíci aktivace účtu nebo v měsíci bezprostředně následujícím.",app; link,max. 10 doporučených přátel ročně (tj. max. 5 000 Kč ročně pro doporučujícího),"45 dnů na založení účtu od pozvánky; 5 plateb kartou v měsíci aktivace nebo následujícím; výplata zpravidla do druhého dne po splnění podmínek, nejpozději do konce kalendářního měsíce následujícího po měsíci splnění",,doporučený musí být starší 15 let a nesmí být ani v minulosti být klientem Air Bank s vlastní rámcovou smlouvou (disponent nebo držitel karty k cizímu účtu doporučen být může),https://www.airbank.cz/file-download/pravidla-akce-pozvani-pratel-doporucujici,2026-09-15,medium,"Nejlépe zdokumentovaný program v přehledu — jediný, u kterého jsou z veřejných zdrojů známé VŠECHNY parametry včetně lhůt a výplatního cyklu. Symetrická odměna 500/500 Kč. reward_referrer_value = 5 000 Kč jako roční maximum (500 Kč × 10). Podmínka „stejné telefonní číslo“ je nezvyklá a v praxi je nejčastější příčinou nevyplacení. Air Bank v září 2026 paralelně běží akviziční bonus 500 Kč „na vyzkoušení“ a kód SVET500 — to NEJSOU MGM."
mbank__doporucte-mbank,mBank,bank,Doporučte mBank (mKlub),active,"běžný účet (mKonto, mKonto #navlastnitriko); dětský účet","100 Kč za každou platbu kartou doporučeného, max. 1 000 Kč za doporučeného; navíc mimořádný bonus 1 000 Kč za každého 3., 6., 9., 12., 15. a 18. doporučeného; celkem až 26 000 Kč","100 Kč za každou vlastní platbu kartou, max. 1 000 Kč",cash,"Doporučující je stávající klient mBank starší 15 let, majitel mKonta nebo mKonta #navlastnitriko. Nový i dosavadní klient dostanou 100 Kč za každou platbu kartou, nejvýše za 10 plateb během 60 dnů od založení účtu. Mimořádný bonus 1 000 Kč se vyplácí za každého 3., 6., 9., 12., 15. a 18. doporučeného, který splní alespoň 1 platbu.",app; link; code,max. 20 doporučených na jednoho doporučujícího; max. 1 000 Kč za jednoho doporučeného; celkem až 26 000 Kč,60 dnů od založení účtu na provedení 10 plateb kartou,"2026-01-30 – 2026-03-31 (Období akce dle pravidel; k datu researche (2026-09-15) banka program stále komunikuje, takže buď byl prodloužen, nebo běží navazující kampaň — neověřeno.)",doporučující = klient mBank 15+ s mKontem; doporučený = nový klient,https://www.mbank.cz/informace-k-produktum/dokumenty-ke-stazeni/dokumenty/akce/doporucte-mbank_pravidla-unor2026.pdf,2026-09-15,medium,"NEJŠTĚDŘEJŠÍ a zároveň NEJVÍC GAMIFIKOVANÝ program na trhu. Tři odlišné mechaniky najednou: (1) per-transakční drobení odměny (100 Kč za platbu, ne jednorázová částka), (2) milníkový bonus za každého 3. doporučeného, (3) strop 20 doporučených. Odměna tedy není lineární — doporučující je tlačen k dosažení násobků tří. Samostatná větev pro dětský účet: 500 Kč rodič + 500 Kč dítě, dítě dále 300 Kč za založení a 10× 67 Kč „kapesné“ (celkem 970 Kč). mBank v roce 2026 zvýšila strop z 10 000 Kč na 26 000 Kč. Existence dodatků č. 1 (leden) a č. 2 (únor 2026) dokládá, že pravidla se mění v řádu týdnů — silný argument pro tracker."
creditas__doporucte-a-ziskejte,Banka CREDITAS,bank,Doporučte a získejte,active,spořicí účet; termínovaný vklad,500 Kč za doporučeného,250 Kč,cash,"Doporučený uvede při založení produktu jméno, příjmení a členské číslo doporučujícího. U spořicího účtu je nutný vklad minimálně 20 000 Kč. U termínovaného vkladu doba sjednání 24, 36 nebo 48 měsíců a vklad minimálně 90 000 Kč (pouze CZK).",branch; web,nepodařilo se ověřit,nepodařilo se ověřit,,doporučující = stávající klient s členským číslem; doporučený = nový klient,https://www2020.creditas.cz/doporucte-a-ziskejte,2026-09-15,medium,"JEDINÝ program v přehledu vázaný na DEPOZITNÍ produkty místo běžného účtu — Creditas si přes MGM kupuje vklady, ne transakční klienty. Tomu odpovídají vstupní bariéry (20 000 Kč na spořicí účet, 90 000 Kč a 2–4 roky vázanosti na termínovaný vklad), které jsou řádově vyšší než u ostatních programů, kde stačí zaplatit kartou. Asymetrická odměna v neprospěch doporučeného (500 vs. 250 Kč). Doporučení běží přes členské číslo, ne přes odkaz nebo kód — pozůstatek družstevní záložny. Doména www2020.creditas.cz naznačuje starou stránku, riziko neaktuálnosti."
